"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"USB_C_BREAKOUT";;;
2;"U1";"ESP32-CAM";1;"ESP32-CAM";;;
